adjacent_pair	preset	pair_label	pair	upperGenome	lowerGenome	upper	upperStart	upperEnd	upperLen	lower	lowerStart	lowerEnd	lowerLen	strand	alnLen	identity	mapq	upper_block_rank	lower_block_rank	chr_pair_block_count	chr_pair_aln_sum	source_block_index_after_filters	reason
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_8	150936339	150944012	164568501	chr2	205339675	205347407	205446347	+	7811	0.943670	60	11	6	1	7811	17406	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	27265	30876	169845636	chr2	20723	24340	205446347	+	3635	0.966990	60	16	3	4	13175	17729	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_1	37780	41339	255833283	chr2	38744	42291	205446347	+	3572	0.961090	60	8	4	2	16292	18525	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	38003	42154	169845636	chr2	31314	35270	205446347	+	4160	0.916590	53	16	3	4	13175	18770	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_13	9104671	9107411	124104227	chr2	161427342	161430083	205446347	+	2743	0.965730	54	10	5	2	4799	19124	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_7	10154749	10157000	164900479	chr2	205327959	205330205	205446347	-	2252	0.964920	60	5	2	4	19582	19412	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	33300	35329	169845636	chr2	26749	28782	205446347	+	2036	0.961200	51	16	3	4	13175	19459	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	42477	45808	169845636	chr2	35348	38674	205446347	+	3344	0.954840	51	16	3	4	13175	19485	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_7	8416441	8422610	164900479	chr2	205327674	205333655	205446347	+	6177	0.928610	60	5	2	4	19582	19509	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_7	15267859	15273454	164900479	chr2	205334060	205339631	205446347	-	5635	0.944630	60	5	2	4	19582	19541	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_13	120194845	120196900	124104227	chr2	205416394	205418449	205446347	-	2056	0.959140	16	10	5	2	4799	19671	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_7	10148338	10153823	164900479	chr2	205330955	205336437	205446347	-	5518	0.946720	60	5	2	4	19582	19700	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_13	92033918	92041190	124104227	chr3	84324659	84331989	198608845	-	7342	0.964040	60	5	3	11	50932	25560	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_13	91985985	91991109	124104227	chr3	84396887	84402007	198608845	-	5131	0.977000	60	5	3	11	50932	25592	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_9	18	6013	162726345	chr3	198601777	198607802	198608845	-	6084	0.973700	30	9	5	2	8192	25602	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_13	91991170	91997888	124104227	chr3	84390029	84396828	198608845	-	6821	0.957630	60	5	3	11	50932	26072	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	61287	71008	169845636	chr3	198482264	198491842	198608845	-	9744	0.946740	60	9	2	18	80923	26561	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_13	92020808	92026701	124104227	chr3	84343885	84349756	198608845	-	5909	0.964120	60	5	3	11	50932	26618	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	58223	65356	169845636	chr3	63105	70238	198608845	+	7152	0.962390	60	9	2	18	80923	26654	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	44732	49707	169845636	chr3	49989	54936	198608845	+	4975	0.965430	60	9	2	18	80923	26772	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	50293	57996	169845636	chr3	198495117	198502606	198608845	-	7743	0.930910	60	9	2	18	80923	26901	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	45019	49715	169845636	chr3	198503039	198507708	198608845	-	4696	0.965290	60	9	2	18	80923	26909	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	27265	30980	169845636	chr3	198521532	198525243	198608845	-	3731	0.968370	60	9	2	18	80923	27128	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	38469	43931	169845636	chr3	44199	49183	198608845	+	5471	0.882110	60	9	2	18	80923	27152	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	44732	49738	169845636	chr3	198562347	198567313	198608845	-	5008	0.960460	60	9	2	18	80923	27279	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_13	124072554	124080916	124104227	chr3	26901	35300	198608845	-	8460	0.947520	60	5	3	11	50932	27369	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	50293	55129	169845636	chr3	55397	60016	198608845	+	4851	0.920430	60	9	2	18	80923	27456	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	38350	42055	169845636	chr3	198510801	198514313	198608845	-	3713	0.916240	60	9	2	18	80923	27769	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_13	92043916	92046469	124104227	chr3	84319413	84321905	198608845	-	2558	0.948400	60	5	3	11	50932	27802	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	27265	29462	169845636	chr3	198582008	198584208	198608845	-	2205	0.973700	60	9	2	18	80923	27827	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	38469	42154	169845636	chr3	198569675	198573152	198608845	-	3695	0.910690	60	9	2	18	80923	28031	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_8	164440219	164447503	164568501	chr3	198492949	198500263	198608845	-	7324	0.956170	60	12	7	1	7324	28133	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	71372	74882	169845636	chr3	198478150	198481639	198608845	-	3518	0.958210	60	9	2	18	80923	28177	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_13	92041418	92043347	124104227	chr3	84322251	84324403	198608845	-	2154	0.875580	60	5	3	11	50932	28229	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	50293	53406	169845636	chr3	198558657	198561779	198608845	-	3129	0.961650	60	9	2	18	80923	28285	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_7	60758883	60763967	164900479	chr3	84566015	84571095	198608845	-	5104	0.954940	13	6	4	2	9884	28421	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_7	60758883	60763643	164900479	chr3	85164397	85169153	198608845	-	4780	0.954180	41	6	4	2	9884	28554	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_13	124056118	124059825	124104227	chr3	47734	51455	198608845	-	3724	0.957300	60	5	3	11	50932	28596	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	33264	35418	169845636	chr3	39125	41286	198608845	+	2162	0.960680	60	9	2	18	80923	28637	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_13	124008209	124012055	124104227	chr3	198541150	198544998	198608845	+	3852	0.957940	60	5	3	11	50932	28654	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	30315	32795	169845636	chr3	36189	38667	198608845	+	2484	0.961760	60	9	2	18	80923	28676	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_15	51966484	51968623	101842037	chr3	84417923	84420064	198608845	-	2141	0.961700	36	10	8	1	2141	28701	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_10	146560612	146565688	146617287	chr3	198564325	198569401	198608845	+	5091	0.951480	60	7	6	2	7322	28721	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_9	125704	127812	162726345	chr3	198530736	198532843	198608845	-	2108	0.960150	38	9	5	2	8192	28770	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_13	124018432	124020874	124104227	chr3	198551262	198553699	198608845	+	2449	0.957940	60	5	3	11	50932	28798	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	33390	37711	169845636	chr3	198514970	198519142	198608845	-	4331	0.920110	60	9	2	18	80923	28817	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	33022	35329	169845636	chr3	198576150	198578462	198608845	-	2315	0.951190	29	9	2	18	80923	28826	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_10	142221081	142223298	146617287	chr3	198450063	198452290	198608845	-	2231	0.950250	57	7	6	2	7322	28835	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_13	95171952	95174461	124104227	chr3	84290408	84292920	198608845	+	2532	0.939970	60	5	3	11	50932	28859	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	61287	75530	169845636	chr4	196183958	196198013	196265559	-	14267	0.950450	60	8	3	21	99044	34427	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_3	96896047	96911566	229927018	chr4	112449399	112463994	196265559	+	15730	0.888620	60	4	6	3	21126	34836	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	61298	69863	169845636	chr4	128755	137177	196265559	+	8585	0.947470	60	8	3	21	99044	35194	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	27247	30980	169845636	chr4	196228223	196231979	196265559	-	3766	0.971850	48	8	3	21	99044	35409	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_9	3887	7100	162726345	chr4	196262301	196265535	196265559	-	3278	0.965220	15	3	5	4	12071	35598	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	20931	27089	169845636	chr4	196232144	196238341	196265559	-	6205	0.960680	46	8	3	21	99044	35710	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	44986	49725	169845636	chr4	112796	117515	196265559	+	4740	0.968570	60	8	3	21	99044	35731	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	50293	57980	169845636	chr4	117961	125452	196265559	+	7728	0.933230	60	8	3	21	99044	35819	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	53940	60217	169845636	chr4	196199067	196205580	196265559	-	6521	0.930530	60	8	3	21	99044	35933	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	44732	49713	169845636	chr4	196209466	196214404	196265559	-	4986	0.959690	60	8	3	21	99044	36141	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_9	1729	4162	162726345	chr4	98	2405	196265559	+	2478	0.912030	60	3	5	4	12071	36163	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	27275	30856	169845636	chr4	22504	26064	196265559	+	3597	0.964690	32	8	3	21	99044	36205	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	37937	42154	169845636	chr4	105732	109755	196265559	+	4225	0.920950	60	8	3	21	99044	36458	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	20945	24683	169845636	chr4	88831	92600	196265559	+	3773	0.957860	60	8	3	21	99044	36742	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	42474	47221	169845636	chr4	37503	42229	196265559	+	4749	0.961260	60	8	3	21	99044	36795	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_8	151083701	151089823	164568501	chr4	121817	127969	196265559	+	6156	0.956790	60	5	4	6	22800	36934	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	70735	75099	169845636	chr4	138067	142408	196265559	+	4380	0.956620	60	8	3	21	99044	36974	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	50293	53405	169845636	chr4	196205893	196209011	196265559	-	3127	0.963540	60	8	3	21	99044	36987	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_3	96911726	96914496	229927018	chr4	112464144	112466936	196265559	+	2793	0.967780	60	4	6	3	21126	37027	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	38003	41766	169845636	chr4	196217776	196221348	196265559	-	3777	0.912100	40	8	3	21	99044	37054	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	27275	29432	169845636	chr4	95209	97356	196265559	+	2165	0.966280	34	8	3	21	99044	37109	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	50099	52909	169845636	chr4	45167	47987	196265559	+	2825	0.960710	27	8	3	21	99044	37155	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_3	96921074	96923640	229927018	chr4	112474413	112476966	196265559	+	2603	0.945060	60	4	6	3	21126	37227	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	33300	35329	169845636	chr4	196223889	196225922	196265559	-	2036	0.965130	41	8	3	21	99044	37386	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	38674	41632	169845636	chr4	33732	36482	196265559	+	2959	0.900300	60	8	3	21	99044	37419	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	33390	35696	169845636	chr4	101308	103624	196265559	+	2319	0.957310	60	8	3	21	99044	37622	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	33390	35696	169845636	chr4	28583	30891	196265559	+	2314	0.957650	27	8	3	21	99044	37636	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_9	7797217	7800796	162726345	chr4	54838	58417	196265559	-	3584	0.958150	60	3	5	4	12071	37637	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_9	7790089	7792723	162726345	chr4	63047	65775	196265559	-	2731	0.927870	57	3	5	4	12071	37649	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_8	151109009	151111946	164568501	chr4	147511	150445	196265559	+	2940	0.957820	58	5	4	6	22800	37660	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_8	155112023	155116110	164568501	chr4	196169527	196173619	196265559	+	4102	0.952710	58	5	4	6	22800	37717	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_8	151115499	151118538	164568501	chr4	154049	157077	196265559	+	3050	0.951800	54	5	4	6	22800	37737	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_8	151121116	151124524	164568501	chr4	159515	163203	196265559	+	3695	0.882810	60	5	4	6	22800	37789	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_4	195085296	195087519	195332734	chr4	196158476	196160713	196265559	+	2238	0.952640	60	11	7	2	4504	37792	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_4	195082402	195084535	195332734	chr4	196155287	196157551	196265559	+	2266	0.905560	60	11	7	2	4504	37798	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_8	155157509	155160344	164568501	chr4	196213452	196216306	196265559	+	2857	0.947850	52	5	4	6	22800	37846	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	58277	69863	169845636	chr5	108075	119476	166558604	+	11620	0.947850	13	4	5	65	293099	42450	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	61287	75595	169845636	chr5	166457649	166471776	166558604	-	14335	0.949490	60	4	5	65	293099	42547	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	50293	57822	169845636	chr5	100287	107628	166558604	+	7578	0.932700	60	4	5	65	293099	43446	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	44986	49725	169845636	chr5	166482979	166487695	166558604	-	4739	0.965390	60	4	5	65	293099	43845	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	27265	30876	169845636	chr5	14632	18249	166558604	+	3635	0.966710	60	4	5	65	293099	44006	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	4452517	4458011	169845636	chr5	162215245	162220716	166558604	+	5504	0.957670	3	4	5	65	293099	44390	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	38003	42154	169845636	chr5	88534	92477	166558604	+	4160	0.917070	60	4	5	65	293099	44428	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	51820	57995	169845636	chr5	166475053	166481027	166558604	-	6205	0.926030	17	4	5	65	293099	44471	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	4452433	4457846	169845636	chr5	161924657	161930045	166558604	+	5420	0.958490	60	4	5	65	293099	44488	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	38003	42154	169845636	chr5	166490242	166494199	166558604	-	4159	0.919930	60	4	5	65	293099	44517	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	4452343	4457852	169845636	chr5	154746659	154752143	166558604	+	5516	0.958300	3	4	5	65	293099	44559	lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	4452343	4457852	169845636	chr5	160506774	160512257	166558604	+	5515	0.957570	3	4	5	65	293099	44560	lower_partner_rank>4
